product_id,product_name,brand,product_form,ingredient_position,raw_ingredient,normalized_ingredient
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,26,Urea,urea
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,27,Allantoin,allantoin
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,28,Linoleic Acid,linoleic acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,29,Oleic Acid,oleic acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,30,Phytosteryl Canola Glycerides,phytosteryl canola glycerides
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,31,Palmitic Acid,palmitic acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,32,Stearic Acid,stearic acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,33,Lecithin,lecithin
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,34,Triolein,triolein
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,35,Tocopherol,tocopherol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,36,Carbomer,carbomer
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,37,Isoceteth-20,isoceteth-20
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,38,Polysorbate 60,polysorbate 60
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,39,Sodium Chloride,sodium chloride
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,40,Citric Acid,citric acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,41,Trisodium Ethylenediamine Disuccinate,trisodium ethylenediamine disuccinate
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,42,Pentylene Glycol,pentylene glycol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,43,Triethanolamine,triethanolamine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,44,Sodium Hydroxide,sodium hydroxide
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,45,Phenoxyethanol,phenoxyethanol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,46,Chlorphenesin,chlorphenesin
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,1,AQUA / WATER / EAU,water
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,2,GLYCERIN,glycerin
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,3,NIACINAMIDE,niacinamide
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,4,CETEARYL ALCOHOL,cetearyl alcohol
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,5,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,hydroxyethylpiperazine ethane sulfonic acid
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,6,GLYCERYL STEARATE,glyceryl stearate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,7,SQUALANE,squalane
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,8,DIMETHICONE,dimethicone
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,9,MYRISTYL MYRISTATE,myristyl myristate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,10,ETHYLHEXYL PALMITATE,ethylhexyl palmitate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,11,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,butyrospermum parkii butter
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,12,PHENOXYETHANOL,phenoxyethanol
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,13,PEG-100 STEARATE,peg-100 stearate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,14,CAPRYLYL GLYCOL,caprylyl glycol
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,15,SODIUM POLYACRYLATE,sodium polyacrylate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,16,TOCOPHEROL,tocopherol
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,17,CITRIC ACID,citric acid
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,18,SODIUM HYALURONATE,sodium hyaluronate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,19,CAPRYLIC/CAPRIC TRIGLYCERIDE,caprylic/capric triglyceride
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,20,PENTYLENE GLYCOL,pentylene glycol
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,21,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,22,HYDROLYZED RICE PROTEIN,hydrolyzed rice protein
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,23,CERAMIDE NP,ceramide np
P00009,confidence in a cream anti-aging hydrating moisturizer,it cosmetics,cream,24,ADENOSINE,adenosine
