ingredient_id,canonical_name,observed_raw_variants,normalization_methods,normalizer_version
168,dimethylacrylamide/sodium acryloyldimethyltaurate crosspolymer,DIMETHYLACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE CROSSPOLYMER,case_whitespace,v5
169,dipalmitoyl hydroxyproline,dipalmitoyl hydroxyproline,case_whitespace,v5
170,dipentaerythrityl hexahydroxystearate,Dipentaerythrityl Hexahydroxystearate,case_whitespace,v5
171,dipotassium phosphate,DIPOTASSIUM PHOSPHATE,case_whitespace,v5
172,dipropylene glycol,DIPROPYLENE GLYCOL | Dipropylene Glycol | dipropylene glycol,case_whitespace,v5
173,disodium edta,DISODIUM EDTA | Diso- Dium Edta | Disodium EDTA | Disodium Edta | disodium EDTA,alias | case_whitespace,v5
174,distarch phosphate,Distarch Phosphate,case_whitespace,v5
175,disteardimonium hectorite,Disteardimonium Hectorite,case_whitespace,v5
176,dunaliella salina extract,Dunaliella Salina Extract,case_whitespace,v5
177,epigallocatechin gallatyl glucoside,Epigallocatechin Gallatyl Glucoside,case_whitespace,v5
178,equisetum arvense leaf extract,Equisetum Arvense Leaf Extract,case_whitespace,v5
179,erythritol,ERYTHRITOL | Erythritol,case_whitespace,v5
180,ethoxydiglycol,Ethoxydiglycol,case_whitespace,v5
181,ethyl hexanediol,Ethyl Hexanediol,case_whitespace,v5
182,ethylhexyl olivate,Ethylhexyl Olivate,case_whitespace,v5
183,ethylhexyl palmitate,ETHYLHEXYL PALMITATE | Ethylhexyl Palmitate,case_whitespace,v5
184,ethylhexyl stearate,Ethylhexyl Stearate,case_whitespace,v5
185,ethylhexylglycerin,ETHYLHEXYLGLYCERIN | Ethylhexylglycerin,case_whitespace,v5
186,eucalyptus globulus leaf extract,eucalyptus globulus leaf extract,case_whitespace,v5
187,eucalyptus globulus leaf oil,Eucalyptus Globulus (Eucalyptus) Leaf Oil | Eucalyptus Globulus Leaf Oil,alias | case_whitespace,v5
188,euterpe oleracea fruit extract,Euterpe Oleracea Fruit Extract,case_whitespace,v5
189,euterpe oleracea sterols,Euterpe Oleracea Sterols,case_whitespace,v5
190,fragrance,FRAGRANCE (PARFUM) | Fragrance | Fragrance (Parfum) | Fragrance/Parfum | PARFUM (FRAGRANCE) | PARFUM / FRAGRANCE | PARFUM/FRAGRANCE | Parfum/fragrance | parfum (fragrance),alias | case_whitespace,v5
191,fructose,Fructose,case_whitespace,v5
192,gardenia taitensis flower,Gardenia Taitensis Flower,case_whitespace,v5
193,geraniol,Geraniol,case_whitespace,v5
194,gluconolactone,Gluconolactone,case_whitespace,v5
195,glucosamine hcl,Glucosamine HCL,case_whitespace,v5
196,glucose,Glucose,case_whitespace,v5
197,glucosyl ceramide,glucosyl ceramide,case_whitespace,v5
198,glutamic acid,Glutamic Acid,case_whitespace,v5
199,glycerin,GLYCERIN | Glycerin | glycerin,case_whitespace,v5
200,glyceryl acrylate/acrylic acid copolymer,Glyceryl Acrylate/acrylic Acid Copolymer,case_whitespace,v5
201,glyceryl caprylate,GLYCERYL CAPRYLATE | Glyceryl Caprylate,case_whitespace,v5
202,glyceryl caprylate/caprate,Glyceryl Caprylate/Caprate,case_whitespace,v5
203,glyceryl dioleate,Glyceryl Dioleate,case_whitespace,v5
204,glyceryl oleate,Glyceryl Oleate,case_whitespace,v5
205,glyceryl stearate,GLYCERYL STEARATE | Glyceryl Stearate | glyceryl stearate,case_whitespace,v5
206,glyceryl stearate citrate,Glyceryl Stearate Citrate,case_whitespace,v5
207,glyceryl stearate se,GLYCERYL STEARATE SE | Glyceryl Stearate SE,case_whitespace,v5
208,glycine,Glycine,case_whitespace,v5
209,glycine soja (soybean) extract,Glycine Soja (Soybean) Extract,case_whitespace,v5
210,glycine soja oil,GLYCINE SOJA (SOYBEAN) OIL | GLYCINE SOJA OIL/SOYBEAN OIL,alias,v5
211,glycolipids,Glycolipids,case_whitespace,v5
212,glycosphingolipids,Glycosphingolipids,case_whitespace,v5
213,glycyrrhetinic acid,Glycyrrhetinic Acid,case_whitespace,v5
214,glycyrrhiza glabra (licorice) root extract,Glycyrrhiza Glabra (Licorice) Root Extract,case_whitespace,v5
215,glycyrrhiza inflata root extract,Glycyrrhiza Inflata Root Extract,case_whitespace,v5
216,helianthus annuus (sunflower) extract,Helianthus Annuus (Sunflower) Extract,case_whitespace,v5
217,helianthus annuus (sunflower) seed wax,Helianthus Annuus (Sunflower) Seed Wax,case_whitespace,v5
218,helianthus annuus (sunflower) seedcake,Helianthus Annuus (Sunflower) Seedcake,case_whitespace,v5
219,helianthus annuus seed oil,HELIANTHUS ANNUUS SEED OIL/SUNFLOWER SEED OIL | Helianthus Annuus (Sunflower) Seed Oil | helianthus annuus (sunflower) seed oil,alias,v5
220,heptapeptide-15 palmitate,Heptapeptide-15 Palmitate,case_whitespace,v5
221,hexapeptide-11,Hexapeptide-11,case_whitespace,v5
222,hexyldecanol,Hexyldecanol,case_whitespace,v5
223,hexylene glycol,Hexylene Glycol | hexylene glycol,case_whitespace,v5
224,hippophae rhamnoides (sea buckthorn) fruit oil,Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil,case_whitespace,v5
225,hippophae rhamnoides (sea buckthorn) seed oil,Hippophae Rhamnoides (Sea Buckthorn) Seed Oil,case_whitespace,v5
226,histidine,Histidine,case_whitespace,v5
227,homarine hcl,Homarine HCI,alias,v5
228,honokiol,Honokiol,case_whitespace,v5
229,hordeum vulgare (barley) extract,Hordeum Vulgare (Barley) Extract\Extrait D'Orge,alias,v5
230,hyaluronic acid,hyaluronic acid,case_whitespace,v5
231,hydrogenated castor oil,Hydrogenated Castor Oil,case_whitespace,v5
232,hydrogenated coconut oil,Hydrogenated Coconut Oil,case_whitespace,v5
233,hydrogenated lecithin,HYDROGENATED LECITHIN | Hydrogenated Lecithin | hydrogenated lecithin,case_whitespace,v5
234,hydrogenated polydecene,HYDROGENATED POLYDECENE | hydrogenated polydecene,case_whitespace,v5
235,hydrogenated polyisobutene,HYDROGENATED POLYISOBUTENE,case_whitespace,v5
236,hydrogenated shea butter,Hydrogenated Shea Butter,case_whitespace,v5
237,hydrogenated starch hydrolysate,Hydrogenated Starch Hydrolysate,case_whitespace,v5
238,hydrogenated vegetable glycerides,Hydrogenated Vegetable Glycerides,case_whitespace,v5
239,hydrolyzed collagen (marine),hydrolyzed collagen (marine),case_whitespace,v5
240,hydrolyzed hyaluronic acid,Hydrolyzed Hyaluronic Acid | hydrolyzed hyaluronic acid,case_whitespace,v5
241,hydrolyzed plukenetia volubilis seed extract,Hydrolyzed Plukenetia Volubilis Seed Extract,case_whitespace,v5
242,hydrolyzed rice protein,HYDROLYZED RICE PROTEIN | Hydrolyzed Rice Protein,case_whitespace,v5
243,hydrolyzed silk,Hydrolyzed Silk,case_whitespace,v5
244,hydrolyzed sodium hyaluronate,HYDROLYZED SODIUM HYALURONATE | Hydrolyzed Sodium Hyaluronate,case_whitespace,v5
245,hydrolyzed soy protein,HYDROLYZED SOY PROTEIN,case_whitespace,v5
246,hydroxyacetophenone,HYDROXYACETOPHENONE | Hydroxyacetophenone,case_whitespace,v5
247,hydroxycitronellal,Hydroxycitronellal,case_whitespace,v5
248,hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer | hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,case_whitespace,v5
249,hydroxyethyl urea,Hydroxyethyl Urea | hydroxyethyl urea,case_whitespace,v5
250,hydroxyethylpiperazine ethane sulfonic acid,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,case_whitespace,v5
251,hydroxypalmitoyl sphinganine,HYDROXYPALMITOYL SPHINGANINE,case_whitespace,v5
252,hydroxyproline palmitamide,hydroxyproline palmitamide,case_whitespace,v5
253,inositol,Inositol,case_whitespace,v5
254,inulin,INULIN,case_whitespace,v5
255,iodopropynyl butylcarbamate,iodopropynyl butylcarbamate,case_whitespace,v5
256,iron oxides (ci 77491),IRON OXIDES (CI 77491) | Iron Oxides (Ci 77491),case_whitespace,v5
257,isoceteth-20,Isoceteth-20,case_whitespace,v5
258,isodecyl neopentanoate,ISODECYL NEOPENTANOATE,case_whitespace,v5
259,isododecane,Isododecane,case_whitespace,v5
260,isohexadecane,ISOHEXADECANE | Isohexadecane | isohexadecane,case_whitespace,v5
261,isoleucine,Isoleucine,case_whitespace,v5
262,isomalt,Isomalt,case_whitespace,v5
263,isopropyl isostearate,ISOPROPYL ISOSTEARATE | Isopropyl Isostearate,case_whitespace,v5
264,isopropyl myristate,Isopropyl Myristate,case_whitespace,v5
265,isostearic acid,ISOSTEARIC ACID | Isostearic Acid,case_whitespace,v5
266,isostearyl glyceryl ether,isostearyl glyceryl ether,case_whitespace,v5
267,isostearyl isostearate,isostearyl isostearate,case_whitespace,v5
268,jojoba esters,Jojoba Esters,case_whitespace,v5
269,jojoba oil/macadamia seed oil esters,Jojoba Oil/Macadamia Seed Oil Esters,case_whitespace,v5
270,lactic acid,Lactic Acid | lactic acid,case_whitespace,v5
271,lactic acid/glycolic acid copolymer,Lactic Acid/Glycolic Acid Copolymer,case_whitespace,v5
272,lactobacillus,LACTOBACILLUS,case_whitespace,v5
273,lactobacillus ferment,Lactobacillus Ferment,case_whitespace,v5
274,laminaria digitata extract,Laminaria Digitata Extract,case_whitespace,v5
275,laminaria saccharina extract,Laminaria Saccharina Extract,case_whitespace,v5
276,lanolin alcohol,Lanolin Alcohol,case_whitespace,v5
277,laureth-23,Laureth-23,case_whitespace,v5
278,laureth-4,Laureth-4,case_whitespace,v5
279,laureth-7,Laureth-7,case_whitespace,v5
280,lauryl peg-8 dimethicone,LAURYL PEG-8 DIMETHICONE,case_whitespace,v5
281,lauryl peg-9 polydimethylsiloxyethyl dimethicone,Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone | Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone,case_whitespace,v5
282,lecithin,Lecithin,case_whitespace,v5
283,leucine,Leucine,case_whitespace,v5
284,leuconostoc/radish root ferment filtrate,Leuconostoc/radish Root Ferment Filtrate,case_whitespace,v5
285,limnanthes alba (meadowfoam) seed oil,Limnanthes Alba (Meadowfoam) Seed Oil,case_whitespace,v5
286,limonene,LIMONENE | Limonene,case_whitespace,v5
287,linalool,LINALOOL | Linalool,case_whitespace,v5
288,linalyl acetate,Linalyl Acetate,case_whitespace,v5
289,linoleic acid,Linoleic Acid | linoleic acid,case_whitespace,v5
290,linolenic acid,Linolenic Acid,case_whitespace,v5
291,lysine,Lysine,case_whitespace,v5
292,lysine hci,Lysine Hci,case_whitespace,v5
293,lysine hcl,Lysine HCl,case_whitespace,v5
294,macadamia ternifolia seed oil,Macadamia Ternifolia Seed Oil,case_whitespace,v5
295,madecassoside,MADECASSOSIDE | Madecassoside,case_whitespace,v5
296,magnesium gluconate,Magnesium Gluconate,case_whitespace,v5
297,magnesium stearate,Magnesium Stearate,case_whitespace,v5
298,magnesium sulfate,MAGNESIUM SULFATE | Magnesium Sulfate | magnesium sulfate,case_whitespace,v5
299,magnolol,Magnolol,case_whitespace,v5
300,malachite extract,Malachite Extract,case_whitespace,v5
301,maltodextrin,MALTODEXTRIN,case_whitespace,v5
302,maltooligosyl glucoside,Maltooligosyl Glucoside,case_whitespace,v5
303,maltose,Maltose,case_whitespace,v5
304,manganese gluconate,MANGANESE GLUCONATE,case_whitespace,v5
305,mannitol,Mannitol,case_whitespace,v5
306,mannose,MANNOSE,case_whitespace,v5
307,meadowfoam estolide,meadowfoam estolide,case_whitespace,v5
308,medicago sativa (alfalfa) seed powder,Medicago Sativa (Alfalfa) Seed Powder,case_whitespace,v5
309,medicago sativa extract,MEDICAGO SATIVA EXTRACT/ALFALFA EXTRACT,alias,v5
310,mentha arvensis leaf extract,Mentha Arvensis Leaf Extract,case_whitespace,v5
311,menthoxypropanediol,MENTHOXYPROPANEDIOL,case_whitespace,v5
312,methyl gluceth-20,Methyl Gluceth-20,case_whitespace,v5
313,methyl palmitate,Methyl Palmitate,case_whitespace,v5
314,methyl trimethicone,Methyl Trimethicone,case_whitespace,v5
315,methylisothiazolinone,methylisothiazolinone,case_whitespace,v5
316,methylparaben,Methylparaben | methylparaben,case_whitespace,v5
317,methylpropanediol,Methylpropanediol | methylpropanediol,case_whitespace,v5
318,mica,Mica,case_whitespace,v5
319,microcrystalline cellulose,Microcrystalline Cellulose | microcrystalline cellulose,case_whitespace,v5
320,microcrystalline wax,CERA MICROCRISTALLINA / MICROCRYSTALLINE WAX | Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline,alias,v5
321,mineral oil,Mineral Oil\Paraffinum Liquidum\Huile Minerale | Mineral Oil\Paraffinum Liquidum\Huile Minérale,alias,v5
322,myristic acid,MYRISTIC ACID,case_whitespace,v5
323,myristyl myristate,MYRISTYL MYRISTATE,case_whitespace,v5
324,neopentyl glycol dicaprate,neopentyl glycol dicaprate,case_whitespace,v5
325,nepeta cataria extract,Nepeta Cataria Extract,case_whitespace,v5
326,niacin,Niacin,case_whitespace,v5
327,niacinamide,NIACINAMIDE | Niacinamide,case_whitespace,v5
